iter	Passed	Remaining
0	246	1233257
1	283	707537
2	348	579918
3	392	490744
4	548	547697
5	725	604000
6	792	565232
7	850	530755
8	1025	568797
9	1141	569452
10	1157	525098
11	1264	525531
12	1368	524989
13	1474	525240
14	1557	517717
15	1629	507440
16	1746	511908
17	1802	498881
18	1884	494108
19	2002	498736
20	2086	494596
21	2209	499968
22	2253	487740
23	2366	490650
24	2494	496326
25	2572	492193
26	2690	495605
27	2802	497630
28	2916	499853
29	2954	489382
30	3082	494136
31	3171	492323
32	3296	496198
33	3470	506933
34	3528	500568
35	3555	490258
36	3645	488940
37	3743	488800
38	3779	480709
39	3868	479742
40	3966	479745
41	4064	479760
42	4178	481643
43	4209	474146
44	4356	479743
45	4561	491256
46	4704	495758
47	4880	503552
48	5051	510369
49	5215	516301
50	5387	522802
51	5581	531074
52	5720	533921
53	5865	537267
54	6056	544506
55	6269	553495
56	6422	556916
57	6597	562149
58	6730	563640
59	6879	566372
60	7016	568141
61	7177	571625
62	7349	575912
63	7536	581223
64	7678	582964
65	7809	583828
66	7962	586283
67	8131	589790
68	8243	589114
69	8362	588944
70	8445	586324
71	8484	580706
72	8629	582410
73	8766	583565
74	8911	585205
75	9023	584657
76	9167	586136
77	9234	582728
78	9347	582236
79	9511	584956
80	9616	583991
81	9751	584868
82	9910	587105
83	10058	588652
84	10181	588751
85	10339	590814
86	10363	585232
87	10479	584922
88	10633	586766
89	10750	586495
90	10888	587378
91	11034	588661
92	11178	589794
93	11310	590301
94	11460	591704
95	11584	591774
96	11743	593602
97	11885	594532
98	12044	596288
99	12165	596124
100	12318	597529
101	12449	597810
102	12588	598492
103	12704	598076
104	12835	598357
105	12972	598927
106	13114	599713
107	13247	600083
108	13392	600925
109	13505	600373
110	13643	600940
111	13771	601038
112	13899	601135
113	14017	600764
114	14136	600503
115	14271	600885
116	14390	600567
117	14503	600056
118	14641	600546
119	14766	600497
120	14944	602597
121	15115	604365
122	15274	605633
123	15380	604808
124	15499	604466
125	15673	606279
126	15863	608691
127	16017	609660
128	16217	612366
129	16393	614132
130	16535	614597
131	16665	614592
132	16800	614788
133	16914	614239
134	17073	615286
135	17195	615003
136	17372	616673
137	17545	618149
138	17722	619782
139	17914	621878
140	18105	623926
141	18292	625819
142	18471	627389
143	18638	628538
144	18808	629776
145	18987	631256
146	19162	632614
147	19284	632232
148	19421	632309
149	19596	633621
150	19780	635201
151	19924	635485
152	20127	637625
153	20256	637416
154	20411	638036
155	20544	637939
156	20678	637874
157	20807	637666
158	20942	637628
159	21079	637661
160	21261	639040
161	21438	640256
162	21566	639991
163	21665	638864
164	21764	637770
165	21888	637401
166	21988	636343
167	22096	635525
168	22261	636365
169	22490	638996
170	22652	639690
171	22812	640338
172	22976	641075
173	23021	638518
174	23227	640422
175	23323	639284
176	23425	638315
177	23540	637713
178	23655	637122
179	23823	637936
180	24022	639579
181	24208	640864
182	24322	640225
183	24465	640365
184	24645	641459
185	24819	642366
186	24841	639368
187	24976	639290
188	25164	640552
189	25341	641543
190	25528	642754
191	25557	640007
192	25714	640460
193	25856	640545
194	26051	641947
195	26221	642702
196	26337	642121
197	26480	642225
198	26599	641719
199	26642	639408
200	26797	639813
201	26930	639673
202	27109	640606
203	27147	638235
204	27312	638849
205	27365	636857
206	27493	636606
207	27626	636464
208	27642	633662
209	27780	633659
